NodeOne,NodeTwo,TagOne,TagTwo,TagThree
1,A,One,High,Completed
2,B,Two,High,In Progress
3,C,Three,Medium,Completed
4,D,Four,Low,Completed
5,E,Five,Medium,Completed
3,C,Three,Low,Completed
4,D,Four,High,In Progress
5,E,Five,High,Completed
6,F,Six,High,Completed
7,G,Seven,Medium,Completed
8,I,Seven,Low,In Progress
1,J,One,High,Completed
3,K,Three,High,In Progress
2,L,Seven,High,Completed
3,G,Seven,Low,Completed
6,W,One,High,Completed
8,F,Two,Medium,Completed
3,G,Three,Low,Completed
1,I,Six,High,In Progress
3,J,Six,Medium,Completed
7,K,Three,High,In Progress
9,L,Two,High,Completed
10,K,Three,High,In Progress
2,L,Five,High,Completed
3,G,Seven,Low,Completed
6,W,Three,High,Completed
8,S,Four,Medium,Completed
3,C,Four,Low,Completed
6,R,Five,High,In Progress
8,T,Six,Medium,Completed
3,E,Two,High,In Progress
